"store_item","ME","RMSE","MAE","MPE","MAPE"
"3_1075891",0.811942077205727,5.62540654369975,3.61771645992342,-Inf,Inf
"3_1076066",-1.13877542564296,6.16316715104882,4.8767077202387,-54.4137684682425,72.5681367238341
"3_1076155",-0.0264140501935928,1.46694802264141,1.27944078590167,-32.5506754872104,59.4688296534845
"3_1076335",3.19552206135583,4.50615905089662,3.45835256110354,-Inf,Inf
"3_1078288",0.838146381723484,1.86473705805984,1.31951932265226,-Inf,Inf
"3_1079214",0.769700955829274,1.42517310953002,1.05686112062139,-Inf,Inf
"3_1079215",0.640742034290914,1.88795824626714,1.08695432454658,-Inf,Inf
"3_1079220",0.689658966263111,2.26246711287971,1.14358861102636,NA,Inf
"3_1079254",-1.42658008703334,2.92048107204873,2.34896385849584,-Inf,Inf
"3_1079257",-0.0790706004054493,0.8107776765847,0.667703813255422,-Inf,Inf
"3_1079258",0.12282791573423,0.468561373171443,0.326869661420791,-Inf,Inf
"3_1079329",-0.0115797147072119,2.5829525393087,2.08068235567542,-Inf,Inf
"3_1079331",0.0407037645375088,0.888007683300237,0.785378091323182,-Inf,Inf
"3_1080001",-1.19866852366754,2.56712593056836,2.16184284167546,NA,Inf
"3_1080009",-0.185782295774747,0.213192088723313,0.18594869946425,NA,Inf
"3_1080021",-1.33135208769061,4.03111064330674,3.61666876046094,-41.2054139593136,60.7338837246759
"3_1080756",-0.108615183858607,2.27842250469718,1.99005891630018,-Inf,Inf
"3_108079",-0.095234817395363,0.925716966731333,0.696405930028648,-Inf,Inf
"3_1081359",0.700581453978411,5.44826367672652,3.66383182472996,-Inf,Inf
"3_1082042",1.62931351625116,2.08099450580088,1.8800467485389,NA,Inf
"3_1082391",-1.58900896807421,1.67163996719726,1.58900896807421,-Inf,Inf
"3_1082578",0.574413965557781,2.66009903828811,1.55806076003555,-Inf,Inf
"3_1082907",-2.81382305916147,6.39976263430029,5.54921765120816,-77.9661642046326,98.7716794706504
"3_1083152",-1.32058030603438,15.3225653195147,12.9778939798707,-8.42753391716975,30.4960938258454
"3_1083154",-0.107136391758463,0.63577928086903,0.571469529058409,-Inf,Inf
"3_1083196",0.351253211417999,13.9195288905203,10.8244137979184,-2.05305449062044,22.0464663941419
"3_1084417",-2.10277140445336,3.3606195376735,2.86708334467037,-33.3330924426623,39.2933973999938
"3_1084425",-4.65556877130174,8.17632447138806,6.84779366921061,-47.4559350360013,54.3885313154078
"3_1084436",0.404548223300157,0.515028143396716,0.432255022071513,NA,Inf
"3_1084437",0.508117313028628,6.82531016999925,4.93434812998055,-32.0842894606979,57.4807832075727
"3_1084881",-1.91267026397166,9.45599035780818,8.75204874175784,-Inf,Inf
"3_1084882",12.0133078919556,59.4559907680047,18.6417132014392,-Inf,Inf
"3_1085148",-0.0409438802594653,1.06256912126255,0.76332270181129,-Inf,Inf
"3_1085246",-1.05166986047734,5.66089748421073,4.20285271014567,-Inf,Inf
"3_1086172",2.01692058465177,2.84936830844139,2.0257744740875,NA,Inf
"3_108634",0.594841187293832,0.889313055045588,0.781432048469651,NA,Inf
"3_108696",-2.24012862373237,2.87250372460807,2.35944372018101,-Inf,Inf
"3_108698",0.9395680631873,3.60457241346454,2.50972204578837,-31.6899972873819,72.1487272469939
"3_108701",0.398104136624455,2.50974189561209,2.02107163477096,-27.8484568565942,62.8467005062197
"3_1087269",-0.225378856076152,3.84846743143141,3.30230654369724,-13.3626428166624,38.0811591590768
"3_1087270",-1.49215904288343,3.22228431406112,2.80376648090588,-63.467971360183,77.3960944474514
"3_108786",-0.0342573662034109,2.57679939529057,1.83211851417761,-Inf,Inf
"3_108797",4.65477185815224,7.39062827141071,5.1845996521126,30.2045193989239,39.5146220260158
"3_1088002",-5.02189329159503,5.56906119448671,5.02189329159503,-Inf,Inf
"3_108831",3.96247551256068,11.661978032332,9.19067698854677,5.34991195968546,31.5453476617274
"3_108862",0.298020907876841,1.09180363469173,0.770138418645822,-7.45817582500054,38.7740277663133
"3_1089044",-0.0517784503198007,2.85651964287198,1.84925675602815,-30.1635733908424,49.8174195191791
"3_1089045",0.412792209129621,4.19509224636008,2.64117891204609,-Inf,Inf
"3_1089046",-1.61007551322992,4.58300711170844,3.55610267215517,-Inf,Inf
"3_1089079",1.07307383847046,1.43402902862422,1.10272642384426,NA,Inf
"3_1089163",-2.92060488078738,3.71594286917721,3.32615564444476,-Inf,Inf
"3_108952",-0.834603245437042,2.89651207169203,2.33442470738408,-Inf,Inf
"3_1089820",-0.00727047397670852,2.65327068728623,1.97751718920821,-Inf,Inf
"3_1089843",0.563598158095708,9.92333100563943,7.83695103804589,-71.9598599571898,109.531120466176
"3_1089844",-4.26510467051997,5.43143621002966,4.50328164804467,-84.174487298041,86.0066178943848
"3_1090401",-1.73776610881078,2.23363316585677,1.73776610881078,-Inf,Inf
"3_1090419",-0.571555414272629,1.04137873175841,0.9367156061762,-Inf,Inf
"3_1091333",0.138535406042201,0.216577369063001,0.186112119327908,NA,Inf
"3_1091365",-5.16323462513562,8.01502662358667,7.41528812937085,-66.5568168917428,74.9616887861963
"3_1091366",9.16667664876789,68.1247782552092,25.3957187743598,-71.1838588939587,86.0732379674066
"3_1091367",-13.5942652153223,15.0461740814064,13.5942652153223,-Inf,Inf
"3_1091368",0.162392535676908,0.291640040784583,0.275853226856755,NA,Inf
"3_1091467",1.9638187183722,3.88852302475963,2.7978839938135,-Inf,Inf
"3_1092008",0.530699872795467,3.02792767820057,2.6705028572157,-Inf,Inf
"3_1092061",1.03908302881088,3.91465990486588,3.09543586575371,-1.04830216005321,34.8247957556013
"3_1092106",-0.995497447124233,6.4154140884558,5.08616771481988,-59.8066618225837,82.4955954849061
"3_1093340",0.8210595387076,1.50150337689519,0.948548766012061,-Inf,Inf
"3_1093344",-0.183795598276524,0.372773293756839,0.316032606750431,NA,Inf
"3_1093786",1.44976676013823,2.37940038516202,1.93271823357123,-Inf,Inf
"3_1094235",0.781986943426255,0.831273365080937,0.781986943426255,Inf,Inf
"3_1096235",-1.15856375982707,3.93480627181025,3.13184744100429,-71.290691166612,102.333784385079
"3_1097187",5.12203192999783,5.60626243735792,5.12203192999783,Inf,Inf
"3_1098624",0.606709469001576,0.608376759683818,0.606709469001576,Inf,Inf
"3_1099990",1.17693429480182,2.44454013127962,1.84819696063363,-Inf,Inf
"3_1101724",0.476964409908425,1.29536722984348,0.973746147317303,-Inf,Inf
"3_1102268",2.51274135930493,4.7350793880782,3.7779695508953,12.2389221883986,34.8088670303651
"3_1102970",1.60318381990526,2.42663514920577,1.9747845710343,-Inf,Inf
"3_1102971",1.17737094575882,2.07298202555216,1.71951468213026,13.3425206185003,51.3213650565432
"3_1102975",-0.0611701977101626,1.18749091104168,0.953180629791254,-Inf,Inf
"3_1102976",0.460967304885586,1.8579506596565,1.55451439140127,-Inf,Inf
"3_1104598",7.39150265490783,11.8221287832801,9.02528641858003,25.7259982081649,39.221890400357
"3_1104599",-7.41181823275061,8.01622822619209,7.41181823275061,-222.825230400077,222.825230400077
"3_1104650",-0.093966534012658,0.105907264149453,0.093966534012658,-Inf,Inf
"3_1104725",0.443674314660129,1.49793320755056,1.05183424496388,-Inf,Inf
"3_1105210",0.362353922429165,0.638202937134967,0.529384768882677,NA,Inf
"3_1105211",-1.93887303326641,16.8199139664551,12.5449650878184,-Inf,Inf
"3_1105212",2.46412766575165,11.353139875526,9.46480279164695,-4.08717380932936,33.8467189080632
"3_1105213",-2.73534275972626,3.2354211497993,2.79474752744207,NA,Inf
"3_1105214",1.14304013769919,4.7095797830193,3.63354017103,-30.2394405816095,88.0128101615276
"3_1105215",-0.185134104719321,1.24874267013489,1.03879532040396,-Inf,Inf
"3_1105228",1.36026608597343,1.57723932773246,1.36498569228958,NA,Inf
"3_1105299",-1.91422060766941,6.34797340137996,5.44062128240663,-Inf,Inf
"3_1105831",-3.49742183128778,5.08434834820626,4.48949806206899,-Inf,Inf
"3_1109116",-0.488227227604995,20.1568499227216,16.2076551206476,-3.83902793684943,20.527048940945
"3_1109173",-0.317306412756538,1.56252365012805,1.16440276480158,-Inf,Inf
"3_1109211",0.15645623161875,0.166957273248802,0.15645623161875,Inf,Inf
"3_1109235",-1.53265859980896,4.68235978995891,3.73734454580045,-13.649477317782,22.4992707233884
"3_1109325",1.39320610218204,12.7829300470752,10.9164474652312,-Inf,Inf
"3_1109326",-7.15078483221452,7.69501839247291,7.15078483221452,-Inf,Inf
"3_1109389",4.13069634452815,11.2034996325847,8.87853322758123,11.594004649739,36.2055592811766
"3_1109390",-0.330868929438741,6.73313813372205,5.60268256089997,-13.4739880991667,45.2745719028548
"3_1109391",2.06692109891691,4.6401649673541,3.68373678974391,-Inf,Inf
"3_1110679",0.49321070455269,4.63455075349641,3.38950656430036,-24.12003902563,56.0117725556639
"3_1111202",0.601705528721365,2.96707563103663,2.19842874866044,-Inf,Inf
"3_111223",-1.76811933879572,4.47909760852842,3.638129111034,-30.5687315454754,40.9357547543969
"3_1112450",-0.399849444338299,5.56222853479388,4.89264418134029,NA,Inf
"3_1112839",-3.43398742976729,6.11500044058213,5.58168364976113,-48.6379396514362,59.0904916760736
"3_1113847",0.840556726177809,4.28087033494322,2.83902064274351,-30.1959091033351,69.4110971155952
"3_1113852",-2.31273114661936,4.0286651613102,3.39865897623302,-Inf,Inf
"3_111397",-7.09026536732893,10.1918273725751,8.56755212339509,-252.512160194612,260.515615744222
"3_1114566",21.9764123702095,28.6017092219627,24.3150643522411,NA,Inf
"3_1114567",10.1063511239397,11.5161719016459,10.3076294937329,NA,Inf
"3_1114749",0.563872414467251,0.581523243250526,0.563872414467251,Inf,Inf
"3_1114754",0.122940754949261,0.44510943558695,0.30690792120794,-Inf,Inf
"3_1114761",-2.21663069238674,5.46752742485817,4.60310542902419,-80.3882791073959,93.6264087635624
"3_1114903",0.141018618622648,1.12877722310209,0.734348553470737,-Inf,Inf
"3_1114914",-0.651077067690451,1.63646050574896,1.45149056297417,-Inf,Inf
"3_1114924",-0.258149375564119,1.84425679530045,1.46975278402374,-Inf,Inf
"3_1116113",1.8164418101066,1.83842241436995,1.8164418101066,Inf,Inf
"3_1116370",0.050885362465048,1.79647176748933,1.41940674872886,-Inf,Inf
"3_1117661",2.37859558009671,5.04884773252544,2.91908850285077,-Inf,Inf
"3_1117662",0.805171524440361,2.95373776167715,1.67666755699801,-Inf,Inf
"3_1117663",-1.87020426199212,4.25882308419257,3.34452100754398,-52.1867349577942,64.4881627384566
"3_1118683",-0.213887983427814,1.78864391794257,1.53016032636767,-Inf,Inf
"3_1118691",-1.36602998227861,2.5364495877296,2.0234623426588,-Inf,Inf
"3_1118775",-7.20621595138854,8.84350310726805,7.81421526728792,-Inf,Inf
"3_1119216",1.36827441116744,2.8629011298076,2.30144779322405,-Inf,Inf
