"store_item","ME","RMSE","MAE","MPE","MAPE","MASE","ACF1"
"45_1464201",0.941640786749482,7.39139913150888,5.49948240165631,-Inf,Inf,1.68476206907884,NA
"45_1464207",-0.244177018633541,2.77704270158541,2.54541925465838,-42.5276360544218,68.9766341319136,0.594752925119937,NA
"45_1464208",1.26695134575569,3.88201100752074,2.93180641821946,-32.4627446720808,67.499174878348,0.883846670909647,NA
"45_1464209",1.76488095238095,3.3566573441561,2.80059523809524,9.21675216318074,31.3312646348361,0.775710219506861,NA
"45_1464210",1.11633022774327,4.72279439816867,3.19422877846791,-18.2678044867486,54.035508142651,0.747255944538553,NA
"45_1464217",-0.55952380952381,4.07744612391433,3.32738095238095,-16.8792095852163,32.0971827393903,0.488501843761999,NA
"45_1464218",-7.29321946169772,9.46310863915692,8.31366459627329,-52.3988056320927,55.5980563468713,0.647983711768333,NA
"45_1464237",11.3862577639752,27.6437010839302,20.9871894409938,-Inf,Inf,1.20315082341585,NA
"45_1464239",0.896868530020704,5.89389233954451,4.91679606625259,-22.2606339022192,51.7856026711913,0.569798030975591,NA
"45_1464240",21.9398291925466,47.0638762613973,29.0011645962733,9.50550519870321,41.4544518254088,1.02841009206643,NA
"45_1464246",-5.47722567287785,5.47722567287785,5.47722567287785,-Inf,Inf,0.986657228733829,NA
"45_1464256",-0.863354037267081,0.863354037267081,0.863354037267081,-Inf,Inf,0.873308853210412,NA
"45_1464257",-1.69151138716356,1.69151138716356,1.69151138716356,-Inf,Inf,1.01134354932642,NA
"45_1464258",-1.77536231884058,1.77536231884058,1.77536231884058,-Inf,Inf,1.1436746579981,NA
"45_1464302",-0.512939958592133,1.09572231934943,1.00646997929607,-Inf,Inf,0.740277080808463,NA
"45_1464309",-2.14893892339544,3.54722176449175,2.96027432712215,-136.477712461796,143.966559449867,0.88826639479878,NA
"45_1464312",-5.57971014492754,5.57971014492754,5.57971014492754,-Inf,Inf,1.504028013926,NA
"45_1464469",-0.0270445134575569,0.768488878064059,0.524715320910973,-Inf,Inf,1.09127216525666,NA
"45_1464907",7.3731884057971,17.030895668384,11.875,5.96896622457331,34.4462402409124,0.977762372013652,NA
"45_1464910",2.41045548654244,13.0287296254317,10.125,-Inf,Inf,1.26088850174216,NA
"45_1464919",8.55020703933747,13.192556250232,9.31262939958592,31.0400202145259,47.3927388382073,1.4655393624593,NA
"45_1464941",-2.33527432712215,8.26019672483143,7.06819358178054,-Inf,Inf,0.772458301972618,NA
"45_1465130",2.76177536231884,12.2614129243702,9.8125,-36.6470465926988,75.5322581001929,0.958795311867153,NA
"45_1465644",0.23537784679089,0.962546871980745,0.685170807453416,-Inf,Inf,1.40082590930624,NA
"45_1466039",0.591873706004141,1.30755094885785,1,-Inf,Inf,0.927884615384615,NA
"45_1466047",1.01099896480331,2.71904627706727,2.33087474120083,-18.9073231949785,62.8645884682375,0.930229166773697,NA
"45_1466049",1.30072463768116,3.10312497058542,2.51268115942029,-14.0578239695088,59.2513547744526,1.05286032081658,NA
"45_1466077",23.8083592132505,25.686627107839,23.8083592132505,64.4227851610165,64.4227851610165,3.31913704720987,NA
"45_1466281",1.08359213250518,7.98646022400582,6.55732401656315,-Inf,Inf,1.24612400078445,NA
"45_1466286",-8.3064182194617,8.3064182194617,8.3064182194617,-Inf,Inf,1.95982728160893,NA
"45_1466288",2.8671066252588,4.85065914599273,3.66110248447205,16.9989278427749,41.1181479946037,1.25415828807793,NA
"45_1466819",-0.052924430641822,0.728110393662088,0.596143892339545,-Inf,Inf,0.709345075348533,NA
"45_1466826",1.62202380952381,2.80103641330528,2.0922619047619,-Inf,Inf,1.43805750576584,NA
"45_1466827",2.35520186335404,4.22188578329001,3.27135093167702,-Inf,Inf,1.54444894768509,NA
"45_1466830",-4.55758281573499,4.56400644963204,4.55758281573499,-Inf,Inf,1.90227829462987,NA
